issue,status,product_area,response,justification,request_type
I notice that people I assigned the test in October of 2025 have not received new tests. How long do the tests stay active in the system.,replied,screen,"Tests can be archived to manage your test library, moving unused tests out of the Active Tests tab. While archived tests are not available for inviting candidates, they can be restored at any time, re-enabling candidate invites.","The documentation explains how to archive and restore tests, which directly relates to the user's question about test activity.",product_issue
site is down & none of the pages are accessible,escalated,unknown,"I am sorry to hear that the site is down and inaccessible. Unfortunately, I do not have enough information to troubleshoot this issue, and I will need to escalate it to our support team.","The documentation does not contain troubleshooting steps for a site outage, so I must escalate.",bug
"I'm noticing that you all have many default versions of roles. (e.g. front end developer for react, angular, vue.js, etc.) What do you consider best practice 
for when to create a new test versus create a variant of the test? What are the advantages and disadvantages of using variants?",replied,screen,"Test variants allow you to create a single assessment that adapts to different candidate profiles, eliminating the need to manage separate tests. You can design multiple variants within the same assessment to personalize the evaluation based on roles, skills, or other criteria, improving efficiency and ensuring candidates are assessed on the most relevant content.",The documentation explains the advantages of using test variants for different candidate profiles.,product_issue
"Hi there

We have sent a candidate a Hackerrank assessment already, but we have been informed that they require extra time. As the assessment is 105 minutes, they need an extra 50% extra time added (so around 53 minutes) in addition.

Please can you provide step-by-step instruction on how we are to reinvite them.

Do we find their profile in 'Candidates' , put in Add time 53 minutes and then click 'reinvite' and send the email? The email to the candidate says 105 minutes as the duration though still so not sure how we can check?

Thanks",replied,hackerrank,"To add extra time to a candidate's test, navigate to the Tests tab, select the relevant test, and go to the Candidates tab.  Check the box next to the candidate's name, click More, and then choose either 'Add Time Accommodation' to add a percentage or 'Add Time' to add a specific number of minutes. Note that after you apply time accommodation, the updated duration appears in the test invite email and on the test landing page before the candidate starts the test.","The documentation provides clear steps on how to add extra time to a candidate's test, either by percentage or by a specific number of minutes.",product_issue
"i signed up using google login on hackerrank community , so i do not have a separate hackerrank password. please delete my account
",replied,hackerrank_community,"To delete your HackerRank account that was created using Google login, you will first need to set a password. You can do this by following the steps in the ""Resetting password"" documentation. After setting a password, you can proceed with the account deletion process through your account settings.",The documentation states that users who signed up with a third-party account must set a password before deleting their account. The documentation also provides the steps to delete an account.,product_issue
"One of my claude conversations has some private info, i forgot to make a temporary chat, is there anything
 else that can be done? like delete etc?",replied,claude,"To address your concern about private information in a Claude conversation, you can utilize incognito chats for future conversations to prevent them from being saved to your chat history. For the existing conversation, there is no self-service option to delete a single conversation, but you can reset Claude's memory which will permanently remove the summaries of your previous chats.","The user is asking about deleting a conversation with private information. The documentation suggests using incognito chats for privacy and resetting memory, but doesn't explicitly state how to delete a single conversation.",product_issue
What is the name of the actor in Iron Man?,replied,unknown,I am designed to provide support for technical issues and questions related to specific products. I cannot provide information about actors in movies.,"The question is outside the scope of the provided documentation. The documentation focuses on product features, security, and account management.",invalid
I bought Visa Traveller's Cheques from Citicorp and they were stolen in Lisbon last night. What do I do?,replied,category,"If your Visa Traveller's Cheques were lost or stolen, they can be replaced or refunded subject to certain terms and conditions. Since you purchased them from Citicorp, you should immediately call Citicorp at Freephone: 1-800-645-6556 or Collect: 1-813-623-1709. Automated cheque verification is available 24 hours a day, 7 days a week (if you select the English or Spanish option).",The documentation provides information on reporting lost or stolen traveller's cheques and includes contact information for Citicorp.,product_issue
Where can I report a lost or stolen Visa card from India?,replied,visa,"To report a lost or stolen Visa card, you can visit our Lost or Stolen card page or call Visa's Global Customer Assistance Services (GCAS) at +1 303 967 1090 from anywhere in the world. GCAS can help you block your Visa card and provide emergency services if applicable.",The documentation provides information on how to report a lost or stolen Visa card and provides the GCAS number.,product_issue
Thank you for helping me,replied,conversation_management,Happy to help! Let us know if you have any other questions.,Ticket is a conversational closing or thank-you message.,invalid
